,COUNTYNAME,STATE,Total_POPULATION,TOTAL_NATIVE,TOTAL_FOREIGN_BORN_NATURALIZED_CITIZEN,TOTAL_FOREIGN_BORN_NOT_US_CITIZEN
1860,Martin County,TX,5146,4758,132,256
1861,Martinsville city,VA,12021,11661,120,240
1862,Mason County,IL,13099,13005,66,28
1863,Mason County,KY,16113,15774,85,254
1864,Mason County,MI,27370,26790,306,274
1865,Mason County,TX,3948,3560,60,328
1866,Mason County,WA,59355,55672,1107,2576
1867,Mason County,WV,25489,25312,77,100
1868,Massac County,IL,13668,13588,62,18
1869,Matagorda County,TX,34164,30105,1527,2532
1870,Matanuska-Susitna Borough,AK,95938,92237,2038,1663
1871,Mathews County,VA,8479,8386,90,3
1872,Maui County,HI,155213,124540,16634,14039
1873,Maunabo Municipio,PR,10497,10423,66,8
1874,Maury County,TN,83825,80269,1315,2241
1875,Maverick County,TX,52430,34573,6612,11245
1876,Mayes County,OK,38476,38034,173,269
1877,McClain County,OK,36298,35147,360,791
1878,McCone County,MT,1557,1545,0,12
1879,McCook County,SD,5098,4950,83,65
1880,McCormick County,SC,9329,9108,169,52
1881,McCracken County,KY,61252,60073,691,488
1882,McCreary County,KY,16579,16408,25,146
1883,McCulloch County,TX,7562,7287,110,165
1884,McCurtain County,OK,30632,29819,356,457
1885,McDonald County,MO,21265,19487,289,1489
1886,McDonough County,IL,29538,28362,370,806
1887,McDowell County,NC,43137,41385,538,1214
1888,McDowell County,WV,18091,17919,9,163
1889,McDuffie County,GA,20039,19375,347,317
1890,McHenry County,IL,290830,261370,16515,12945
1891,McHenry County,ND,5588,5514,44,30
1892,McIntosh County,GA,13504,13176,257,71
1893,McIntosh County,ND,2524,2464,28,32
1894,McIntosh County,OK,18727,18550,92,85
1895,McKean County,PA,39715,39082,300,333
1896,McKenzie County,ND,11315,10996,309,10
1897,McKinley County,NM,67151,65416,802,933
1898,McLean County,IL,162792,151091,4386,7315
1899,McLean County,KY,8801,8727,25,49
1900,McLean County,ND,9055,8943,68,44
1901,McLennan County,TX,230888,209436,6222,15230
1902,McLeod County,MN,33748,32592,428,728
1903,McMinn County,TN,49909,48588,385,936
1904,McMullen County,TX,617,602,1,14
1905,McNairy County,TN,24514,24304,124,86
1906,McPherson County,KS,27023,26650,75,298
1907,McPherson County,NE,423,423,0,0
1908,McPherson County,SD,2208,2195,13,0
1909,Meade County,KS,3957,3503,188,266
1910,Meade County,KY,26873,26379,296,198
1911,Meade County,SD,25780,25289,278,213
1912,Meagher County,MT,1832,1801,13,18
1913,Mecklenburg County,NC,982874,826325,56472,100077
1914,Mecklenburg County,VA,29418,28920,226,272
1915,Mecosta County,MI,41207,40459,279,469
1916,Medina County,OH,167718,162663,3710,1345
1917,Medina County,TX,46443,43815,1397,1231
1918,Meeker County,MN,21666,21200,138,328
1919,Meigs County,OH,21947,21913,23,11
1920,Meigs County,TN,11321,11131,190,0
1921,Mellette County,SD,1905,1899,6,0
1922,Menard County,IL,11699,11603,58,38
1923,Menard County,TX,2097,1943,32,122
1924,Mendocino County,CA,82279,70985,3866,7428
1925,Menifee County,KY,6050,6042,0,8
1926,Menominee County,MI,22207,21980,136,91
1927,Menominee County,WI,4183,4155,21,7
1928,Merced County,CA,247821,178915,26941,41965
1929,Mercer County,IL,14909,14718,154,37
1930,Mercer County,KY,20260,19688,119,453
1931,Mercer County,MO,3421,3360,34,27
1932,Mercer County,ND,8003,7887,52,64
1933,Mercer County,NJ,347812,267180,38106,42526
1934,Mercer County,OH,37980,37469,131,380
1935,Mercer County,PA,107181,105383,1029,769
1936,Mercer County,WV,56987,56350,441,196
1937,Meriwether County,GA,19863,19611,60,192
1938,Merrick County,NE,7319,7108,44,167
1939,Merrimack County,NH,142269,134503,4100,3666
1940,Mesa County,CO,141275,135425,2905,2945
1941,Metcalfe County,KY,9386,9247,90,49
1942,Miami County,IN,34038,33646,147,245
1943,Miami County,KS,31210,30894,134,182
1944,Miami County,OH,98633,96600,1041,992
1945,Miami-Dade County,FL,2558009,1119935,821510,616564
1946,Middlesex County,CT,156497,144043,7185,5269
1947,Middlesex County,MA,1508034,1174930,164950,168154
1948,Middlesex County,NJ,778162,510262,148362,119538
1949,Middlesex County,VA,10368,10177,152,39
1950,Midland County,MI,78852,75662,1097,2093
1951,Midland County,TX,149933,128454,7490,13989
1952,Mifflin County,PA,43510,43161,219,130
1953,Milam County,TX,23116,21983,375,758
1954,Millard County,UT,11720,10688,276,756
1955,Mille Lacs County,MN,24074,23672,266,136
1956,Miller County,AR,40898,40199,247,452
1957,Miller County,GA,5507,5498,0,9
1958,Miller County,MO,23430,23206,170,54
1959,Mills County,IA,14126,13932,111,83
1960,Mills County,TX,4725,4399,143,183
1961,Milwaukee County,WI,887569,802320,34741,50508
1962,Miner County,SD,2094,2054,14,26
1963,Mineral County,CO,811,803,8,0
1964,Mineral County,MT,4041,3922,116,3
1965,Mineral County,NV,4219,3982,105,132
1966,Mineral County,WV,25881,25727,73,81
1967,Mingo County,WV,23227,23205,22,0
1968,Minidoka County,ID,19016,15843,1104,2069
1969,Minnehaha County,SD,172260,159166,5027,8067
1970,Missaukee County,MI,14032,13799,103,130
1971,Mississippi County,AR,39741,39016,267,458
1972,Mississippi County,MO,13128,13061,30,37
1973,Missoula County,MT,109940,106573,1640,1727
1974,Mitchell County,GA,21075,20359,98,618
1975,Mitchell County,IA,10027,9943,57,27
1976,Mitchell County,KS,5800,5705,65,30
1977,Mitchell County,NC,14371,13874,132,365
1978,Mitchell County,TX,8112,7599,134,379
1979,Mobile County,AL,387690,374179,7186,6325
1980,Moca Municipio,PR,35093,34756,204,133
1981,Modoc County,CA,8536,7891,141,504
1982,Moffat County,CO,12220,11254,558,408
1983,Mohave County,AZ,196927,183083,6716,7128
1984,Moniteau County,MO,14873,14674,111,88
1985,Monmouth County,NJ,592146,509420,50818,31908
1986,Mono County,CA,13710,11221,674,1815
1987,Monona County,IA,8361,8296,24,41
1988,Monongalia County,WV,99943,94005,1720,4218
1989,Monroe County,AL,20246,20110,97,39
1990,Monroe County,AR,6815,6767,40,8
1991,Monroe County,FL,72775,58237,7387,7151
1992,Monroe County,GA,25595,24842,372,381
1993,Monroe County,IA,7414,7400,7,7
1994,Monroe County,IL,32128,31568,374,186
1995,Monroe County,IN,139001,127182,3221,8598
1996,Monroe County,KY,9989,9771,22,196
1997,Monroe County,MI,141739,138377,2017,1345
1998,Monroe County,MO,8155,8109,17,29
1999,Monroe County,MS,33727,33486,108,133
2000,Monroe County,NY,702653,638755,35980,27918
2001,Monroe County,OH,13370,13294,62,14
2002,Monroe County,PA,160196,143071,11884,5241
2003,Monroe County,TN,43264,41929,714,621
2004,Monroe County,WI,42466,41423,481,562
2005,Monroe County,WV,12851,12731,20,100
2006,Montague County,TX,18301,17367,296,638
2007,Montcalm County,MI,59617,58732,448,437
2008,Monterey County,CA,400894,271547,35557,93790
2009,Montezuma County,CO,24385,23795,368,222
2010,Montgomery County,AL,211626,201125,3729,6772
2011,Montgomery County,AR,8569,8267,78,224
2012,Montgomery County,GA,8555,7961,240,354
2013,Montgomery County,IA,9537,9380,13,144
2014,Montgomery County,IL,27568,27287,195,86
2015,Montgomery County,IN,35989,34875,249,865
2016,Montgomery County,KS,30847,29878,365,604
2017,Montgomery County,KY,25952,25686,87,179
2018,Montgomery County,MD,973433,640077,180528,152828
2019,Montgomery County,MO,10808,10727,40,41
2020,Montgomery County,MS,9599,9520,5,74
2021,Montgomery County,NC,25825,23426,616,1783
2022,Montgomery County,NY,46392,44766,1068,558
2023,Montgomery County,OH,499313,473879,13126,12308
2024,Montgomery County,PA,775538,687547,50240,37751
2025,Montgomery County,TN,179691,170421,5419,3851
2026,Montgomery County,TX,516610,443317,26555,46738
2027,Montgomery County,VA,93633,85972,2433,5228
2028,Montmorency County,MI,8928,8828,59,41
2029,Montour County,PA,17278,16483,367,428
2030,Montrose County,CO,38956,36206,1405,1345
2031,Moody County,SD,6069,5882,102,85
2032,Moore County,NC,90266,86006,1842,2418
2033,Moore County,TN,5978,5884,24,70
2034,Moore County,TX,19851,14471,1300,4080
2035,Mora County,NM,4309,4270,28,11
2036,Morehouse Parish,LA,24242,24093,112,37
2037,Morgan County,AL,112063,107049,1269,3745
2038,Morgan County,CO,26185,22353,1113,2719
2039,Morgan County,GA,17224,16787,184,253
2040,Morgan County,IL,32651,32024,315,312
2041,Morgan County,IN,65725,64941,420,364
2042,Morgan County,KY,12657,12488,5,164
2043,Morgan County,MO,18966,18827,119,20
2044,Morgan County,OH,13975,13890,52,33
2045,Morgan County,TN,20577,20419,67,91
2046,Morgan County,UT,10401,10151,122,128
2047,Morgan County,WV,16888,16584,276,28
2048,Morovis Municipio,PR,29784,29523,234,27
2049,Morrill County,NE,4576,4361,57,158
2050,Morris County,KS,5273,5168,29,76
2051,Morris County,NJ,469700,375759,57626,36315
2052,Morris County,TX,11716,11279,109,328
2053,Morrison County,MN,30966,30522,267,177
2054,Morrow County,OH,33084,32932,127,25
2055,Morrow County,OR,10342,8451,471,1420
2056,Morton County,KS,2657,2318,103,236
2057,Morton County,ND,28641,28199,293,149
2058,Motley County,TX,1098,1098,0,0
2059,Moultrie County,IL,13707,13542,62,103
2060,Mountrail County,ND,9328,9042,121,165
2061,Mower County,MN,37047,33160,1086,2801
2062,Muhlenberg County,KY,29451,28958,198,295
2063,Multnomah County,OR,753254,641988,53270,57996
2064,Murray County,GA,37095,34072,695,2328
2065,Murray County,MN,7914,7660,70,184
2066,Murray County,OK,13044,12724,117,203
2067,Muscatine County,IA,40183,37498,1266,1419
2068,Muscogee County,GA,182245,172018,5509,4718
2069,Muskegon County,MI,162407,159279,1560,1568
2070,Muskingum County,OH,80826,79970,395,461
2071,Muskogee County,OK,64442,62493,639,1310
2072,Musselshell County,MT,4564,4517,35,12
2073,Nacogdoches County,TX,61173,55877,1416,3880
2074,Naguabo Municipio,PR,25020,24845,119,56
2075,Nance County,NE,3356,3323,9,24
2076,Nantucket County,MA,10405,9282,419,704
2077,Napa County,CA,133212,101795,14315,17102
2078,Naranjito Municipio,PR,27060,26978,22,60
2079,Nash County,NC,88717,84735,1371,2611
2080,Nassau County,FL,76569,73457,1967,1145
2081,Nassau County,NY,1282323,982356,192582,107385
2082,Natchitoches Parish,LA,36425,35805,391,229
2083,Natrona County,WY,75090,73010,866,1214
2084,Navajo County,AZ,100816,97655,1582,1579
2085,Navarro County,TX,45091,39074,1875,4142
2086,Nelson County,KY,42491,41911,320,260
2087,Nelson County,ND,2769,2711,9,49
2088,Nelson County,VA,14184,13681,125,378
2089,Nemaha County,KS,9349,9238,53,58
2090,Nemaha County,NE,6628,6530,47,51
2091,Neosho County,KS,15026,14706,119,201
2092,Neshoba County,MS,27344,26956,111,277
2093,Ness County,KS,2758,2554,56,148
2094,Nevada County,AR,7936,7886,44,6
2095,Nevada County,CA,94871,89401,2401,3069
2096,New Castle County,DE,522586,461439,29631,31516
2097,New Hanover County,NC,212917,201572,5814,5531
2098,New Haven County,CT,814592,710705,53232,50655
2099,New Kent County,VA,19963,19381,384,198
2100,New London County,CT,255412,232583,13261,9568
2101,New Madrid County,MO,16688,16602,17,69
2102,New York County,NY,1552583,1081507,232822,238254
2103,Newaygo County,MI,45367,44379,440,548
2104,Newberry County,SC,35748,34118,330,1300
2105,Newport County,RI,79478,73807,3126,2545
2106,Newport News city,VA,166983,154580,6604,5799
2107,Newton County,AR,7505,7451,36,18
2108,Newton County,GA,99602,93246,3579,2777
2109,Newton County,IN,13285,12791,90,404
2110,Newton County,MO,54561,52681,766,1114
2111,Newton County,MS,20178,19882,138,158
2112,Newton County,TX,13378,13158,126,94
2113,Nez Perce County,ID,37697,37078,388,231
2114,Niagara County,NY,200626,192456,5230,2940
2115,Nicholas County,KY,6641,6577,24,40
2116,Nicholas County,WV,24006,23737,83,186
2117,Nicollet County,MN,31755,30251,594,910
2118,Niobrara County,WY,2326,2320,6,0
2119,Noble County,IN,44379,42097,877,1405
2120,Noble County,OH,13746,13641,34,71
2121,Noble County,OK,10728,10676,34,18
2122,Nobles County,MN,20112,15911,1216,2985
2123,Nodaway County,MO,21489,20969,119,401
2124,Nolan County,TX,13872,13048,282,542
2125,Nome Census Area,AK,8968,8683,127,158
2126,Norfolk County,MA,660722,538391,74040,48291
2127,Norfolk city,VA,229202,211283,9317,8602
2128,Norman County,MN,6190,6071,41,78
2129,North Slope Borough,AK,8984,8417,280,287
2130,Northampton County,NC,19260,18935,56,269
2131,Northampton County,PA,286927,264222,13789,8916
2132,Northampton County,VA,11285,10625,282,378
2133,Northumberland County,PA,87572,86507,691,374
2134,Northumberland County,VA,11866,11655,70,141
2135,Northwest Arctic Borough,AK,6924,6827,48,49
2136,Norton County,KS,5158,5028,28,102
2137,Norton city,VA,3674,3575,76,23
2138,Nottoway County,VA,14680,14001,336,343
2139,Nowata County,OK,9801,9663,36,102
2140,Noxubee County,MS,10044,9933,34,77
2141,Nuckolls County,NE,4049,3960,7,82
2142,Nueces County,TX,335821,305313,11721,18787
2143,Nye County,NV,41748,38576,1396,1776
2144,O'Brien County,IA,13075,12714,116,245
2145,Oakland County,MI,1182555,1026069,82460,74026
2146,Obion County,TN,28784,28243,219,322
2147,Ocean County,NJ,550740,504113,27854,18773
2148,Oceana County,MI,24892,23387,255,1250
2149,Ochiltree County,TX,9444,7344,483,1617
2150,Oconee County,GA,35009,32782,1130,1097
2151,Oconee County,SC,72673,69857,1260,1556
2152,Oconto County,WI,35739,35208,241,290
2153,Ogemaw County,MI,20000,19732,150,118
2154,Ogle County,IL,48529,45995,1011,1523
2155,Oglethorpe County,GA,13994,13730,44,220
2156,Ohio County,IN,5611,5562,31,18
2157,Ohio County,KY,22678,22393,167,118
2158,Ohio County,WV,40344,39681,477,186
2159,Okaloosa County,FL,187415,173175,8129,6111
2160,Okanogan County,WA,39030,34753,794,3483
2161,Okeechobee County,FL,38190,33206,1383,3601
2162,Okfuskee County,OK,11399,11194,102,103
2163,Oklahoma County,OK,721840,640082,26381,55377
2164,Okmulgee County,OK,36472,36100,170,202
2165,Oktibbeha County,MS,46882,45112,449,1321
2166,Oldham County,KY,62125,60056,1181,888
2167,Oldham County,TX,1973,1921,33,19
2168,Oliver County,ND,1718,1710,5,3
2169,Olmsted County,MN,142307,125935,8022,8350
2170,Oneida County,ID,4055,3920,54,81
2171,Oneida County,NY,217621,200208,10084,7329
2172,Oneida County,WI,33809,33233,413,163
2173,Onondaga County,NY,437659,401564,19951,16144
2174,Onslow County,NC,176370,168868,5002,2500
2175,Ontario County,NY,103965,99763,2231,1971
2176,Ontonagon County,MI,5825,5736,62,27
2177,Orange County,CA,2975226,2025060,512100,438066
2178,Orange County,FL,1239175,959860,143532,135783
2179,Orange County,IN,18376,18091,139,146
2180,Orange County,NC,136345,117561,8059,10725
2181,Orange County,NY,353375,313326,24273,15776
2182,Orange County,TX,78322,75790,796,1736
2183,Orange County,VA,33550,31725,763,1062
2184,Orange County,VT,27563,26965,427,171
2185,Orangeburg County,SC,83452,81821,590,1041
2186,Oregon County,MO,10044,9891,123,30
2187,Orleans County,NY,39062,37812,576,674
2188,Orleans County,VT,25566,24431,715,420
2189,Orleans Parish,LA,366399,344734,9763,11902
2190,Orocovis Municipio,PR,20246,20090,12,144
2191,Osage County,KS,14983,14906,55,22
2192,Osage County,MO,12847,12829,16,2
2193,Osage County,OK,44861,44238,388,235
2194,Osborne County,KS,3395,3362,22,11
2195,Osceola County,FL,316956,249782,35520,31654
2196,Osceola County,IA,5736,5491,22,223
2197,Osceola County,MI,21958,21743,114,101
2198,Oscoda County,MI,7862,7759,58,45
2199,Oswego County,NY,112583,110452,1257,874
2200,Otero County,CO,17230,16187,304,739
2201,Otero County,NM,61304,53892,2443,4969
2202,Otoe County,NE,14799,14158,143,498
2203,Otsego County,MI,23090,22664,357,69
2204,Otsego County,NY,57692,55496,1386,810
2205,Ottawa County,KS,5586,5543,11,32
2206,Ottawa County,MI,266021,249908,8482,7631
2207,Ottawa County,OH,38985,38546,328,111
2208,Ottawa County,OK,29454,28699,271,484
2209,Otter Tail County,MN,54622,53168,705,749
2210,Ouachita County,AR,22654,22518,41,95
2211,Ouachita Parish,LA,145090,142406,1249,1435
2212,Ouray County,CO,4564,4471,37,56
2213,Outagamie County,WI,173060,165632,3830,3598
2214,Overton County,TN,20789,20464,211,114
2215,Owen County,IN,19758,19488,174,96
2216,Owen County,KY,10205,10201,0,4
2217,Owsley County,KY,4195,4187,8,0
2218,Owyhee County,ID,10684,9519,212,953
2219,Oxford County,ME,54690,53852,432,406
2220,Ozark County,MO,8836,8779,47,10
2221,Ozaukee County,WI,83785,79518,2549,1718
2222,Pacific County,WA,20376,18875,638,863
2223,Page County,IA,14562,14167,177,218
2224,Page County,VA,22642,22298,212,132
2225,Palm Beach County,FL,1372096,1012674,189897,169525
2226,Palo Alto County,IA,8510,8213,26,271
2227,Palo Pinto County,TX,26591,24593,882,1116
2228,Pamlico County,NC,12279,11921,159,199
2229,Panola County,MS,31776,31374,80,322
2230,Panola County,TX,22010,21165,165,680
2231,Park County,CO,16565,16050,278,237
2232,Park County,MT,15407,14989,264,154
2233,Park County,WY,27555,26841,411,303
2234,Parke County,IN,15936,15709,71,156
2235,Parker County,TX,121809,115601,2549,3659
2236,Parmer County,TX,9092,7024,674,1394
2237,Pasco County,FL,484064,434802,29088,20174
2238,Pasquotank County,NC,36993,35455,881,657
2239,Passaic County,NJ,469633,321908,84176,63549
2240,Patillas Municipio,PR,16572,16463,79,30
2241,Patrick County,VA,17119,16797,178,144
2242,Paulding County,GA,145811,137391,4950,3470
2243,Paulding County,OH,17781,17516,106,159
2244,Pawnee County,KS,6414,6320,38,56
2245,Pawnee County,NE,2521,2487,13,21
2246,Pawnee County,OK,15465,15326,77,62
2247,Payette County,ID,21509,19949,370,1190
2248,Payne County,OK,77050,71443,1227,4380
2249,Peach County,GA,25542,24037,701,804
2250,Pearl River County,MS,52085,51235,445,405
2251,Pecos County,TX,14695,12548,733,1414
2252,Pembina County,ND,6631,6334,181,116
2253,Pemiscot County,MO,15761,15681,17,63
2254,Pend Oreille County,WA,12610,12123,284,203
2255,Pender County,NC,55671,53307,752,1612
2256,Pendleton County,KY,13682,13564,76,42
2257,Pendleton County,WV,6736,6691,20,25
2258,Pennington County,MN,13239,12929,168,142
2259,Pennington County,SD,101978,99280,1342,1356
2260,Penobscot County,ME,144587,140444,2057,2086
2261,Peoria County,IL,171661,161645,4381,5635
2262,Pepin County,WI,6863,6764,44,55
2263,Perkins County,NE,2713,2644,52,17
2264,Perkins County,SD,2721,2700,10,11
2265,Perquimans County,NC,12847,12569,149,129
2266,Perry County,AL,8972,8829,85,58
2267,Perry County,AR,9769,9714,30,25
2268,Perry County,IL,20267,20031,121,115
2269,Perry County,IN,18070,17894,51,125
2270,Perry County,KY,25192,24767,61,364
2271,Perry County,MO,18000,17792,74,134
2272,Perry County,MS,11300,11262,35,3
2273,Perry County,OH,33817,33645,134,38
2274,Perry County,PA,43279,42739,274,266
2275,Perry County,TN,7380,7282,29,69
2276,Pershing County,NV,6321,5634,284,403
2277,Person County,NC,37246,36077,290,879
2278,Petersburg city,VA,29526,28326,404,796
2279,Petroleum County,MT,407,401,6,0
2280,Pettis County,MO,39505,36858,889,1758
2281,Phelps County,MO,42212,39742,674,1796
2282,Phelps County,NE,8560,8440,36,84
2283,Philadelphia County,PA,1467730,1251635,110079,106016
2284,Phillips County,AR,17638,17531,70,37
2285,Phillips County,CO,4073,3506,169,398
2286,Phillips County,KS,5099,5008,28,63
2287,Phillips County,MT,3828,3756,50,22
2288,Piatt County,IL,15470,15281,97,92
2289,Pickaway County,OH,54406,53693,479,234
2290,Pickens County,AL,19264,18601,63,600
2291,Pickens County,GA,29380,28715,348,317
2292,Pickens County,SC,116526,112303,1350,2873
2293,Pickett County,TN,4865,4847,12,6
2294,Pierce County,GA,17957,17454,117,386
2295,Pierce County,ND,3927,3877,12,38
2296,Pierce County,NE,6687,6588,80,19
2297,Pierce County,WA,801728,717615,47365,36748
2298,Pierce County,WI,39588,38813,241,534
2299,Pike County,AL,31542,30107,222,1213
2300,Pike County,AR,10187,9763,131,293
2301,Pike County,GA,17205,16939,105,161
2302,Pike County,IL,14793,14726,44,23
2303,Pike County,IN,11719,11575,120,24
2304,Pike County,KY,57190,56684,286,220
2305,Pike County,MO,17402,17183,57,162
2306,Pike County,MS,37033,36811,107,115
2307,Pike County,OH,26453,26390,32,31
2308,Pike County,PA,53672,48929,3348,1395
2309,Pima County,AZ,960682,829266,63481,67935
2310,Pinal County,AZ,394876,356398,16451,22027
2311,Pine County,MN,27717,27297,260,160
2312,Pinellas County,FL,915240,801512,67514,46214
2313,Pipestone County,MN,8570,7972,113,485
2314,Piscataquis County,ME,16180,15864,123,193
2315,Pitkin County,CO,17086,15027,787,1272
2316,Pitt County,NC,166931,158706,2882,5343
2317,Pittsburg County,OK,41758,40789,323,646
2318,Pittsylvania County,VA,59008,57732,433,843
2319,Piute County,UT,1809,1807,2,0
2320,Placer County,CA,359752,318256,26797,14699
2321,Plaquemines Parish,LA,21726,20443,708,575
2322,Platte County,MO,92699,87461,2504,2734
2323,Platte County,NE,30686,27623,1105,1958
2324,Platte County,WY,8199,7959,88,152
2325,Pleasants County,WV,7159,7155,4,0
2326,Plumas County,CA,17840,17085,359,396
2327,Plymouth County,IA,23488,22878,204,406
2328,Plymouth County,MA,484841,437403,27972,19466
2329,Pocahontas County,IA,6522,6265,132,125
2330,Pocahontas County,WV,8128,8037,44,47
2331,Poinsett County,AR,22515,22359,41,115
2332,Pointe Coupee Parish,LA,20847,20446,166,235
2333,Polk County,AR,18943,18028,287,628
2334,Polk County,FL,629537,562981,29994,36562
2335,Polk County,GA,38798,36085,794,1919
2336,Polk County,IA,440180,398029,17773,24378
2337,Polk County,MN,29467,28430,507,530
2338,Polk County,MO,29657,29428,176,53
2339,Polk County,NC,19780,19040,377,363
2340,Polk County,NE,4992,4811,81,100
2341,Polk County,OR,76769,70240,2442,4087
2342,Polk County,TN,16011,15828,88,95
2343,Polk County,TX,45249,42167,767,2315
2344,Polk County,WI,41152,40624,339,189
2345,Ponce Municipio,PR,136515,134746,794,975
2346,Pondera County,MT,5629,5540,49,40
2347,Pontotoc County,MS,29132,28252,80,800
2348,Pontotoc County,OK,35702,34789,330,583
2349,Pope County,AR,59646,56336,944,2366
2350,Pope County,IL,4076,4039,23,14
2351,Pope County,MN,10353,10216,63,74
2352,Poquoson city,VA,11530,11035,341,154
2353,Portage County,OH,155152,148780,2079,4293
2354,Portage County,WI,67097,64235,1021,1841
2355,Porter County,IN,158786,152522,3901,2363
2356,Portsmouth city,VA,88174,85166,1467,1541
2357,Posey County,IN,24170,23916,164,90
2358,Pottawatomie County,KS,21673,21141,168,364
2359,Pottawatomie County,OK,67473,66009,721,743
2360,Pottawattamie County,IA,87548,83653,1605,2290
2361,Potter County,PA,16033,15872,99,62
2362,Potter County,SD,2151,2098,28,25
2363,Potter County,TX,111091,91811,5444,13836
2364,Powder River County,MT,1537,1516,0,21
2365,Powell County,KY,11529,11428,40,61
2366,Powell County,MT,6615,6584,22,9
2367,Power County,ID,7063,5890,442,731
2368,Poweshiek County,IA,17687,17113,164,410
2369,Powhatan County,VA,27334,26715,280,339
2370,Prairie County,AR,7792,7787,5,0
2371,Prairie County,MT,1273,1248,12,13
2372,Pratt County,KS,8872,8535,80,257
2373,Preble County,OH,38882,38531,151,200
2374,Prentiss County,MS,23810,23653,130,27
2375,Presidio County,TX,6617,3705,667,2245
2376,Presque Isle County,MI,12308,12143,80,85
2377,Preston County,WV,32082,31635,133,314
2378,Price County,WI,12985,12727,92,166
2379,Prince Edward County,VA,21905,20895,149,861
2380,Prince George County,VA,35787,34375,932,480
2381,Prince George's County,MD,846145,644670,87394,114081
2382,Prince William County,VA,422144,313710,57497,50937
2383,Prince of Wales-Hyder Census Area,AK,6080,5908,90,82
2384,Providence County,RI,598235,481295,62698,54242
2385,Prowers County,CO,11241,9997,381,863
2386,Pueblo County,CO,155048,149322,2468,3258
2387,Pulaski County,AR,366789,345318,8072,13399
2388,Pulaski County,GA,10864,10647,204,13
2389,Pulaski County,IL,5298,5244,18,36
2390,Pulaski County,IN,11997,11836,92,69
2391,Pulaski County,KY,60505,59105,493,907
2392,Pulaski County,MO,49033,46442,1478,1113
2393,Pulaski County,VA,32686,32032,329,325
2394,Pushmataha County,OK,10463,10376,56,31
2395,Putnam County,FL,68589,65845,1082,1662
2396,Putnam County,GA,20528,19742,327,459
2397,Putnam County,IL,5504,5336,103,65
2398,Putnam County,IN,35764,35024,136,604
2399,Putnam County,MO,4509,4471,38,0
2400,Putnam County,NY,94652,81863,7704,5085
2401,Putnam County,OH,31686,31345,165,176
2402,Putnam County,TN,71989,68055,1148,2786
2403,Putnam County,WV,53489,52875,423,191
2404,Quay County,NM,7865,7628,116,121
2405,Quebradillas Municipio,PR,22916,22642,116,158
2406,Queen Anne's County,MD,46851,44763,1062,1026
2407,Queens County,NY,2153723,1071705,622240,459778
2408,Quitman County,GA,2150,2029,42,79
2409,Quitman County,MS,6866,6829,12,25
2410,Rabun County,GA,15756,14884,327,545
2411,Racine County,WI,183330,174202,4246,4882
2412,Radford city,VA,17109,16663,325,121
2413,Rains County,TX,10907,10520,148,239
2414,Raleigh County,WV,72006,70903,567,536
2415,Ralls County,MO,9718,9607,73,38
2416,Ramsey County,MN,503436,420084,44344,39008
2417,Ramsey County,ND,10805,10600,62,143
2418,Randall County,TX,123821,116885,2975,3961
2419,Randolph County,AL,21284,20924,128,232
2420,Randolph County,AR,16572,16234,67,271
2421,Randolph County,GA,6643,6608,11,24
2422,Randolph County,IL,30920,30493,147,280
2423,Randolph County,IN,23556,23143,125,288
2424,Randolph County,MO,23479,23170,213,96
2425,Randolph County,NC,134860,125755,2310,6795
2426,Randolph County,WV,27581,27399,72,110
2427,Rankin County,MS,141976,137837,1772,2367
2428,Ransom County,ND,5074,4901,76,97
2429,Rapides Parish,LA,122585,118938,1567,2080
2430,Rappahannock County,VA,6975,6717,78,180
2431,Ravalli County,MT,39983,39251,444,288
2432,Rawlins County,KS,2377,2286,20,71
2433,Ray County,MO,21560,21373,129,58
2434,Reagan County,TX,3488,2733,261,494
2435,Real County,TX,3161,3061,20,80
2436,Red Lake County,MN,3734,3689,26,19
2437,Red River County,TX,11757,11477,138,142
2438,Red River Parish,LA,8068,7995,14,59
2439,Red Willow County,NE,10167,10020,74,73
2440,Redwood County,MN,14421,14085,203,133
2441,Reeves County,TX,14167,11078,457,2632
2442,Refugio County,TX,6766,6600,83,83
2443,Reno County,KS,59520,57775,550,1195
2444,Rensselaer County,NY,150952,143206,3989,3757
2445,Renville County,MN,13835,13474,98,263
2446,Renville County,ND,2299,2217,76,6
2447,Republic County,KS,4443,4370,28,45
2448,Reynolds County,MO,6058,6021,3,34
2449,Rhea County,TN,30580,29672,256,652
2450,Rice County,KS,9162,8774,87,301
2451,Rice County,MN,62042,56945,1489,3608
2452,Rich County,UT,2175,2162,4,9
2453,Richardson County,NE,7578,7530,32,16
2454,Richland County,IL,14824,14492,109,223
2455,Richland County,MT,10630,10388,85,157
2456,Richland County,ND,15381,15094,200,87
2457,Richland County,OH,114328,112516,1117,695
2458,Richland County,SC,384410,362359,10246,11805
2459,Richland County,WI,16633,16202,176,255
2460,Richland Parish,LA,19211,19147,44,20
2461,Richmond County,GA,187713,180434,4000,3279
2462,Richmond County,NC,42410,40604,606,1200
2463,Richmond County,NY,446745,338254,72226,36265
2464,Richmond County,VA,8607,8234,182,191
2465,Richmond city,VA,210410,195533,5108,9769
2466,Riley County,KS,70957,64215,2076,4666
2467,Ringgold County,IA,4677,4625,5,47
