,COUNTYNAME,STATE,EDUCATION_LEVEL,PERCENT TOTAL
378,Camden County,NC,EDUCATION_LESS_9TH,6.5
379,Camden County,NJ,EDUCATION_LESS_9TH,4.5
380,Cameron County,PA,EDUCATION_LESS_9TH,1.3
381,Cameron County,TX,EDUCATION_LESS_9TH,19.6
382,Cameron Parish,LA,EDUCATION_LESS_9TH,5.0
383,Camp County,TX,EDUCATION_LESS_9TH,7.1
384,Campbell County,KY,EDUCATION_LESS_9TH,2.8
385,Campbell County,SD,EDUCATION_LESS_9TH,6.4
386,Campbell County,TN,EDUCATION_LESS_9TH,9.7
387,Campbell County,VA,EDUCATION_LESS_9TH,5.0
388,Campbell County,WY,EDUCATION_LESS_9TH,2.2
389,Camuy Municipio,PR,EDUCATION_LESS_9TH,19.6
390,Canadian County,OK,EDUCATION_LESS_9TH,2.7
391,Candler County,GA,EDUCATION_LESS_9TH,7.8
392,Cannon County,TN,EDUCATION_LESS_9TH,6.4
393,Canyon County,ID,EDUCATION_LESS_9TH,6.9
394,Cape Girardeau County,MO,EDUCATION_LESS_9TH,3.2
395,Cape May County,NJ,EDUCATION_LESS_9TH,3.1
396,Carbon County,MT,EDUCATION_LESS_9TH,2.1
397,Carbon County,PA,EDUCATION_LESS_9TH,2.9
398,Carbon County,UT,EDUCATION_LESS_9TH,2.3
399,Carbon County,WY,EDUCATION_LESS_9TH,3.7
400,Caribou County,ID,EDUCATION_LESS_9TH,2.8
401,Carlisle County,KY,EDUCATION_LESS_9TH,8.3
402,Carlton County,MN,EDUCATION_LESS_9TH,1.2
403,Carolina Municipio,PR,EDUCATION_LESS_9TH,9.8
404,Caroline County,MD,EDUCATION_LESS_9TH,5.2
405,Caroline County,VA,EDUCATION_LESS_9TH,4.2
406,Carroll County,AR,EDUCATION_LESS_9TH,6.5
407,Carroll County,GA,EDUCATION_LESS_9TH,5.4
408,Carroll County,IA,EDUCATION_LESS_9TH,3.6
409,Carroll County,IL,EDUCATION_LESS_9TH,1.8
410,Carroll County,IN,EDUCATION_LESS_9TH,3.0
411,Carroll County,KY,EDUCATION_LESS_9TH,8.3
412,Carroll County,MD,EDUCATION_LESS_9TH,1.9
413,Carroll County,MO,EDUCATION_LESS_9TH,3.6
414,Carroll County,MS,EDUCATION_LESS_9TH,5.5
415,Carroll County,NH,EDUCATION_LESS_9TH,1.5
416,Carroll County,OH,EDUCATION_LESS_9TH,3.5
417,Carroll County,TN,EDUCATION_LESS_9TH,7.4
418,Carroll County,VA,EDUCATION_LESS_9TH,8.0
419,Carson City,NV,EDUCATION_LESS_9TH,4.1
420,Carson County,TX,EDUCATION_LESS_9TH,1.7
421,Carter County,KY,EDUCATION_LESS_9TH,11.9
422,Carter County,MO,EDUCATION_LESS_9TH,3.2
423,Carter County,MT,EDUCATION_LESS_9TH,2.1
424,Carter County,OK,EDUCATION_LESS_9TH,3.6
425,Carter County,TN,EDUCATION_LESS_9TH,6.7
426,Carteret County,NC,EDUCATION_LESS_9TH,2.8
427,Carver County,MN,EDUCATION_LESS_9TH,1.6
428,Cascade County,MT,EDUCATION_LESS_9TH,2.4
429,Casey County,KY,EDUCATION_LESS_9TH,13.3
430,Cass County,IA,EDUCATION_LESS_9TH,3.6
431,Cass County,IL,EDUCATION_LESS_9TH,5.1
432,Cass County,IN,EDUCATION_LESS_9TH,7.1
433,Cass County,MI,EDUCATION_LESS_9TH,2.9
434,Cass County,MN,EDUCATION_LESS_9TH,2.1
435,Cass County,MO,EDUCATION_LESS_9TH,2.4
436,Cass County,ND,EDUCATION_LESS_9TH,2.5
437,Cass County,NE,EDUCATION_LESS_9TH,1.1
438,Cass County,TX,EDUCATION_LESS_9TH,3.5
439,Cassia County,ID,EDUCATION_LESS_9TH,8.1
440,Castro County,TX,EDUCATION_LESS_9TH,17.6
441,Caswell County,NC,EDUCATION_LESS_9TH,7.1
